Dimension, Obstacles, Seed, Algorithm, Time, Nodes Expanded, Plan Length, Error, Plan, Env
8x8, 0, 3735929054, ucs, 5.60, 1805, 31, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
8x8, 0, 3735929054, gbfs, 7.12, 2168, 31, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
8x8, 0, 3735929054, astar, 5.57, 1772, 31, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
8x8, 0, 3735929054, custom-astar, 5.63, 1772, 31, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF, canWorld
8x8, 0, 195936467, bfs, 0.35, 99, 8, None, MoveF_TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW, canWorld
8x8, 0, 195936467, ucs, 0.32, 110, 8, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF, canWorld
8x8, 0, 195936467, gbfs, 5.38, 1708, 8, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF, canWorld
8x8, 0, 195936467, astar, 0.28, 100, 8, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF, canWorld
8x8, 0, 195936467, custom-astar, 0.31, 100, 8, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF, canWorld
8x8, 0, 20493, bfs, 0.70, 239, 12, None, MoveF_MoveF_MoveF_TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW, canWorld
8x8, 0, 20493, ucs, 0.75, 254, 12, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF, canWorld
8x8, 0, 20493, gbfs, 5.48, 1774, 12, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF, canWorld
8x8, 0, 20493, astar, 0.55, 240, 12, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF, canWorld
8x8, 0, 20493, custom-astar, 0.69, 240, 12, None, TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW_MoveF_MoveF_MoveF, canWorld
8x8, 14, 3735929054, bfs, 0.64, 238, 12, None, MoveF_TurnCW_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_MoveF_TurnCCW, canWorld
